Input,,,,Output,,,
Power(W),Speed (mm/s),Layer thickness (mm),,평균 용융풀 너비,평균 용융풀 깊이,용융풀 안정성,결함 발생율
140,800,0.04,,89.16883333,29.72294444,0.763008047,0
180,800,0.04,,109.0575,38.94910714,0.7637284,0
210,800,0.04,,117.8198333,47.12793333,0.831818735,0.040361876
250,800,0.04,,135.2151667,67.60758333,0.838965743,0
320,800,0.04,,148.3711667,82.42842593,0.933334347,0.00641018
390,800,0.04,,161.0886667,107.3924444,0.957374592,0
460,800,0.04,,161.4901667,124.2232051,0.962253185,0.049590091
110,600,0.04,,72.35833333,22.61197917,0.749116679,0
140,600,0.04,,109.4926667,36.49755556,0.917515061,0.182047542
180,600,0.04,,119.1353333,42.54833333,0.873560386,0.062726023
210,600,0.04,,131.7066667,52.68266667,0.857731576,0.224046818
250,600,0.04,,159.3346667,79.66733333,0.902268775,0.103180444
320,600,0.04,,167.6865,93.15916667,0.964270514,0
390,600,0.04,,174.2448333,116.1632222,0.957308626,0.177510604
460,600,0.04,,183.4506667,141.1158974,0.970137499,0.057098314
110,400,0.04,,98.81683333,30.88026042,0.827026011,0
140,400,0.04,,121.7663333,40.58877778,0.893182348,0
180,400,0.04,,133.6071667,47.71684524,0.865309798,0.045821808
210,400,0.04,,143.43,57.372,0.919759076,0.13234173
250,400,0.04,,170.5903333,85.29516667,0.91311613,0.090000764
320,400,0.04,,188.6415,104.8008333,0.933346998,0.243953774
390,400,0.04,,214.2976667,142.8651111,0.921363409,0.015179223
460,400,0.04,,220.5831667,169.679359,0.959740517,0.006630573
110,2200,0.08,,19.78666667,6.183333333,0.156269783,0
140,2200,0.08,,40.0005,13.3335,0.22448636,0
180,2200,0.08,,44.39666667,15.85595238,0.137423355,0
210,2200,0.08,,88.53883333,35.41553333,0.617802642,0.011554407
250,2200,0.08,,89.92366667,44.96183333,0.460823467,0
320,2200,0.08,,114.505,63.61388889,0.758108184,0
390,2200,0.08,,112.7648333,75.17655556,0.811919874,0.049967595
460,2200,0.08,,139.8193333,107.5533333,0.592457185,0.02615639
110,1800,0.08,,61.30266667,19.15708333,0.612089709,0
140,1800,0.08,,74.36083333,24.78694444,0.662394229,0
180,1800,0.08,,96.84825,34.58866071,0.564813281,0
210,1800,0.08,,109.668,43.8672,0.82108223,0
250,1800,0.08,,110.7278333,55.36391667,0.767582251,0.012342809
320,1800,0.08,,134.486,74.71444444,0.785714128,0.010518845
390,1800,0.08,,141.7631,94.50873333,0.745292148,0.022269348
460,1800,0.08,,148.659,114.3530769,0.788016863,0.079300165
110,1400,0.08,,65.70616667,20.53317708,0.470967718,0
140,1400,0.08,,85.0575,28.3525,0.591396676,0
180,1400,0.08,,87.931,31.40392857,0.545455344,0
210,1400,0.08,,111.5553333,44.62213333,0.535168659,0
250,1400,0.08,,122.8888333,61.44441667,0.738992925,0.011251422
320,1400,0.08,,146.3603333,81.3112963,0.546558134,0
390,1400,0.08,,134.682,89.788,0.841893287,0.029730526
460,1400,0.08,,166.1626667,127.8174359,0.682217003,0
110,1100,0.08,,63.228,19.75875,0.638611253,0
140,1100,0.08,,99.5545,33.18483333,0.623184428,0
180,1100,0.08,,88.389,31.5675,0.733117647,0
210,1100,0.08,,133.3333333,53.33333333,0.740647826,0
250,1100,0.08,,125.9445,62.97225,0.738496366,0
320,1100,0.08,,136.7818333,75.98990741,0.708135953,0.010400787
390,1100,0.08,,155.747,103.8313333,0.752154845,0.007594763
460,1100,0.08,,175.2765,134.8280769,0.800394435,0
110,950,0.08,,66.5705,20.80328125,0.472342637,0
140,950,0.08,,105.2835,35.0945,0.717871876,0
180,950,0.08,,125.2525,44.73303571,0.673521696,0.075040235
210,950,0.08,,115.9503333,46.38013333,0.729345848,0
250,950,0.08,,135.2435,67.62175,0.820051812,0
320,950,0.08,,153.0088333,85.00490741,0.7919453,0
390,950,0.08,,151.341,100.894,0.858822614,0
460,950,0.08,,162.1011667,124.6932051,0.880247682,0
110,800,0.08,,55.96933333,17.49041667,0.472360575,0
140,800,0.08,,89.26933333,29.75644444,0.714267425,0
180,800,0.08,,108.3095,38.68196429,0.620001197,0
210,800,0.08,,115.7593333,46.30373333,0.66942117,0
250,800,0.08,,132.5691667,66.28458333,0.752524963,0
320,800,0.08,,147.8511667,82.13953704,0.779309944,0
390,800,0.08,,164.47,109.6466667,0.805031964,0
460,800,0.08,,180.9526667,139.194359,0.765799583,0
110,600,0.08,,95.19733333,29.74916667,0.747370611,0
140,600,0.08,,125.018,41.67266667,0.622827077,0
180,600,0.08,,125.209,44.7175,0.67092003,0
210,600,0.08,,147.1346667,58.85386667,0.786088142,0.006572669
250,600,0.08,,160.0956667,80.04783333,0.783812292,0
320,600,0.08,,157.02,87.23333333,0.834820933,0
390,600,0.08,,158.1305,105.4203333,0.867117055,0
460,600,0.08,,169.0543333,130.0417949,0.759443126,0
110,400,0.08,,121.6525,38.01640625,0.70572372,0
140,400,0.08,,129.3216667,43.10722222,0.824798807,0
180,400,0.08,,155.2693333,55.45333333,0.879910567,0
210,400,0.08,,162.1361667,64.85446667,0.905828858,0
250,400,0.08,,206.8768333,103.4384167,0.775411219,0
320,400,0.08,,181.2111667,100.6728704,0.795838378,0
390,400,0.08,,191.404,127.6026667,0.754816706,0
460,400,0.08,,184.6448333,142.0344872,0.850859549,0.023287242
110,2200,0.12,,44.25366667,13.82927083,0.095631865,0
140,2200,0.12,,37.14283333,12.38094444,0.107953048,0
180,2200,0.12,,108.8825,38.88660714,0.798105823,0
210,2200,0.12,,85.27233333,34.10893333,0.571927173,0
250,2200,0.12,,93.60083333,46.80041667,0.449703531,0.03364266
320,2200,0.12,,120.5531667,66.97398148,0.633072864,0
390,2200,0.12,,111.6368333,74.42455556,0.649720088,0.1311569
460,2200,0.12,,124.7496667,95.96128205,0.634999792,0.344808064
110,1800,0.12,,29.895,9.3421875,0.113877987,0
140,1800,0.12,,89.58916667,29.86305556,0.447527515,0
180,1800,0.12,,80.28583333,28.6735119,0.502673346,0
210,1800,0.12,,82.13966667,32.85586667,0.400653095,0
250,1800,0.12,,91.80956667,45.90478333,0.397103215,0
320,1800,0.12,,121.5323333,67.51796296,0.620845327,0.073391531
390,1800,0.12,,109.4553333,72.97022222,0.569863531,0.013873595
460,1800,0.12,,298.8506667,229.8851282,0.25908023,0
110,1400,0.12,,48.424,15.1325,0.258060326,0
140,1400,0.12,,69.47616667,23.15872222,0.454637769,0
180,1400,0.12,,105.8261667,37.79505952,0.573861228,0
